row_id,case,control,pvalue
3033929,3.6521948302886837,4.517622730761437,0
3033930,4.015605845586922,3.895905869140132,0
3033931,3.7990309592957887,2.2333016075021925,0
3033932,6.330883641880867,4.80318657634849,0
3033933,4.332463626647327,1.6667735685499019,0
3033934,3.2601015978278034,3.936591599336951,0
3033935,4.940974215944019,4.991295472600248,0
3033936,4.280816249588645,3.9580701581456914,0
3033937,4.706901863183226,4.731830079750576,0
3033938,2.4022596648736965,3.5581446060284625,0
3033939,3.701834405484213,3.9227373850125224,0
3033940,2.5070893653693194,5.809945793264135,0
3033941,5.104035955145745,3.1001652183931148,0
3033942,3.4024734300306663,2.5109813018688847,0
3033943,3.5479621048496086,3.6241249956105444,0
3033944,2.813174297239039,5.0893920396450225,0
3033945,3.310734431812735,3.460347934727489,0
3033946,2.312325402648715,5.555610207864271,0
3033947,4.526960779877375,3.9846807774315423,0
3033948,4.439257565815561,3.822865139303674,0
3033949,4.585043526148397,5.646394857614618,0
3033950,3.360612276208209,2.6648679956245305,0
3033951,3.941916200207124,3.217783846486242,0
3033952,4.747601036133125,5.2048625033814355,0
3033953,4.563849961518006,4.289720570427992,0
3033954,4.840107758808505,4.520847610307302,0
3033955,1.6146486791389392,3.55409134845513,0
3033956,5.614197093426749,4.417033015276694,0
3033957,4.285784000028414,1.7672914568727904,0
3033958,3.639487464331767,2.580990608335216,0
3033959,3.748681798725304,4.728428800912409,0
3033960,2.711031698574631,3.6765742062245943,0
3033961,4.43277388249684,2.936473652282218,0
3033962,3.318675941221099,5.164486893430814,0
3033963,4.600224179248837,4.400888818988325,0
3033964,4.129931169033772,4.103366550426259,0
3033965,3.9450529202124835,5.2152710457586275,0
3033966,3.7018351372641267,3.7737392488827672,0
3033967,5.10641953815563,3.2238895654124633,0
3033968,2.0017022238101667,5.4567896500673285,0
3033969,2.223936365857498,5.473112484841726,0
3033970,4.580017102187842,4.580550779299588,0
3033971,5.2759277117923,3.494777625192617,0
3033972,2.528706553861113,4.441263640499193,0
3033973,5.276205889766365,4.280064814615967,0
3033974,3.0096372779832783,4.244897663798774,0
3033975,5.127754435220497,4.762853637436398,0
3033976,4.291097369176214,4.745238743636752,0
3033977,5.255178396824976,2.903768498995065,0
3033978,5.0979492312589585,4.932366319416534,0
3033979,4.647585540285696,3.640117535709977,0
3033980,2.503689845738625,5.506234930781213,0
3033981,3.554540303930246,5.780737972095744,0
3033982,4.945098986203628,4.529905023374299,0
3033983,2.2064499848442587,3.5587171635358383,0
3033984,3.876623474514753,3.530467476050249,0
3033985,4.3226938565292325,2.4992727812934694,0
3033986,4.003563418095646,4.755524334682465,0
