pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Vitamin B9 (folate) metabolism	4	5	0.00016803898504453034	E385,E622,E758,E932	C00217/C00025/C00302/C05938,C01045/C01042,C00504,C00921	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Formyl-L-glutamate/N-Acetyl-L-aspartate$Folate$Dihydropteroate; 7,8-Dihydropteroate
Carnitine shuttle	5	13	0.01058645605780541	E1462,E1047,E1463,E1390,E1292	hdd2crn/hdcecrn,tmndnccrn,elaidcrn/vacccrn/odecrn,ttdcrn,C02990	trans-Hexadec-2-enoyl carnitine/Hexadecenoyl carnitine$Timnodonyl carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine$tetradecanoyl carnitine$L-Palmitoylcarnitine
Ascorbate (Vitamin C) and Aldarate Metabolism	4	9	0.010754495042849942	E1414,E884,E291,E450	C00725/C04593/C02225,C00127,C01620/C00262,C00051	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$Oxidized glutathione$/Hypoxanthine$Reduced glutathione
Methionine and cysteine metabolism	10	40	0.01646782053436397	E314,E1130,E884,E912,E763,E796,E951,E765,E385,E450	C05844,C02712,C00127,C00170,C02291/C00542,C00491,C00020/C00362,C02291/C00542,C00217/C00025/C00302/C05938,C00051	5-L-Glutamyl-taurine$N-Acetylmethionine$Oxidized glutathione$5-Methylthioadenosine$L-Cystathionine/Cystathionine$L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$AMP/dGMP$L-Cystathionine/Cystathionine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde$Reduced glutathione
Glycosphingolipid metabolism	6	20	0.019828600235254578	E872,E753,E863,E1439,E636,E907	C00836,C01074/C01132/C00645/C00140,C02934/C00319,C12144,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,C00128	Sphinganine$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$3-Dehydrosphinganine/Sphingosine$Phytosphingosine; 4-D-Hydroxysphinganine$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$CMP-N-acetylneuraminate
Drug metabolism - cytochrome P450	4	11	0.022013107040833473	E947,E186,E81,E1262	C16548,C16582/C16584,C16595/C16587,C07030	N,N-Didesmethyltamoxifen$2-Hydroxyfelbamate/p-Hydroxyfelbamate$4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one/3-Carbamoyl-2-phenylpropionaldehyde$
Galactose metabolism	5	16	0.024029574861367836	E1400,E753,E1389,E108,E636	C02052/C01613,C01074/C01132/C00645/C00140,C00718/C05796,C00577/C00256/C01013/C00186/C00184,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	Maltotetraose/Stachyose$N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan/Galactan$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Alanine and Aspartate Metabolism	5	16	0.024029574861367836	E605,E622,E951,E610,E385	C00327,C01045/C01042,C00020/C00362,C00062/C00792,C00217/C00025/C00302/C05938	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline$N-Formyl-L-glutamate/N-Acetyl-L-aspartate$AMP/dGMP$L-Arginine/D-Arginine; D-2-Amino-5-guanidinovaleric acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate/L-4-Hydroxyglutamate semialdehyde
Glycosphingolipid biosynthesis - globoseries	3	7	0.02453369181650143	E753,E907,E636	C01074/C01132/C00645/C00140,C00128,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	N-Acetylgalactosamine; N-Acetylchondrosamine; 2-Acetamido-2-deoxygalactose; GalNAc/N-Acetyl-D-galactosamine/N-Acetyl-D-mannosamine; 2-Acetamido-2-deoxy-D-mannose/N-Acetyl-D-glucosamine$CMP-N-acetylneuraminate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Propanoate metabolism	3	7	0.02453369181650143	E1414,E951,E108	C00725/C04593/C02225,C00020/C00362,C00577/C00256/C01013/C00186/C00184	Lipoate; Lipoic acid; alpha-Lipoic acid; Thioctic acid/(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate; Methylisocitrate; Methylisocitric acid/2-Methylcitrate; 2-Hydroxybutane-1,2,3-tricarboxylate; (2R,3S)-2-Hydroxybutane-1,2,3-tricarboxylate$AMP/dGMP$D-Glyceraldehyde/D-Lactate/3-Hydroxypropanoate; 3-Hydroxypropanoic acid; 3-Hydroxypropionate; 3-Hydroxypropionic acid; Hydracrylic acid/L-Lactate/Dihydroxyacetone
